date,zone_id,zone_name,mobility_risk_score
2020-02-15,1,Uttara,37.98
2020-02-15,2,Mirpur,42.59
2020-02-15,3,Gulshan & Banani,44.09
2020-02-15,4,Agargaon & Kafrul,29.98
2020-02-15,5,Farmgate & Karwan Bazar,57.84
2020-02-15,6,Diabari & Ashkona,27.2
2020-02-15,7,Uttarkhan & Faidabad,18.53
2020-02-15,8,Dakshinkhan & Dumni,17.83
2020-02-15,9,Vatara & Kuril,30.21
2020-02-15,10,Badda & Aftabnagar,35.89
2020-02-15,11,Ramna & Motijheel,48.48
2020-02-15,12,Khilgaon & Mugda,40.71
2020-02-15,13,Dhanmondi & Azimpur,42.11
2020-02-15,14,Wari & Jatrabari,44.1
2020-02-15,15,Bashundhara R/A (NSU),59.44
2020-02-16,1,Uttara,36.2
2020-02-16,2,Mirpur,36.65
2020-02-16,3,Gulshan & Banani,39.28
2020-02-16,4,Agargaon & Kafrul,30.82
2020-02-16,5,Farmgate & Karwan Bazar,54.7
2020-02-16,6,Diabari & Ashkona,23.15
2020-02-16,7,Uttarkhan & Faidabad,15.57
2020-02-16,8,Dakshinkhan & Dumni,16.7
2020-02-16,9,Vatara & Kuril,32.29
2020-02-16,10,Badda & Aftabnagar,33.39
2020-02-16,11,Ramna & Motijheel,47.21
2020-02-16,12,Khilgaon & Mugda,35.5
2020-02-16,13,Dhanmondi & Azimpur,49.91
2020-02-16,14,Wari & Jatrabari,47.84
2020-02-16,15,Bashundhara R/A (NSU),56.89
2020-02-17,1,Uttara,39.61
2020-02-17,2,Mirpur,43.92
2020-02-17,3,Gulshan & Banani,32.24
2020-02-17,4,Agargaon & Kafrul,31.92
2020-02-17,5,Farmgate & Karwan Bazar,54.07
2020-02-17,6,Diabari & Ashkona,17.0
2020-02-17,7,Uttarkhan & Faidabad,24.55
2020-02-17,8,Dakshinkhan & Dumni,23.36
2020-02-17,9,Vatara & Kuril,34.73
2020-02-17,10,Badda & Aftabnagar,33.5
2020-02-17,11,Ramna & Motijheel,46.55
2020-02-17,12,Khilgaon & Mugda,43.3
2020-02-17,13,Dhanmondi & Azimpur,42.24
2020-02-17,14,Wari & Jatrabari,48.54
2020-02-17,15,Bashundhara R/A (NSU),69.07
2020-02-18,1,Uttara,42.59
2020-02-18,2,Mirpur,34.95
2020-02-18,3,Gulshan & Banani,45.8
2020-02-18,4,Agargaon & Kafrul,32.41
2020-02-18,5,Farmgate & Karwan Bazar,53.68
2020-02-18,6,Diabari & Ashkona,20.64
2020-02-18,7,Uttarkhan & Faidabad,14.71
2020-02-18,8,Dakshinkhan & Dumni,22.93
2020-02-18,9,Vatara & Kuril,38.57
2020-02-18,10,Badda & Aftabnagar,35.98
2020-02-18,11,Ramna & Motijheel,55.49
2020-02-18,12,Khilgaon & Mugda,46.36
2020-02-18,13,Dhanmondi & Azimpur,52.64
2020-02-18,14,Wari & Jatrabari,46.95
2020-02-18,15,Bashundhara R/A (NSU),63.43
2020-02-19,1,Uttara,36.78
2020-02-19,2,Mirpur,39.14
2020-02-19,3,Gulshan & Banani,36.41
2020-02-19,4,Agargaon & Kafrul,31.41
2020-02-19,5,Farmgate & Karwan Bazar,49.0
2020-02-19,6,Diabari & Ashkona,18.72
2020-02-19,7,Uttarkhan & Faidabad,15.05
2020-02-19,8,Dakshinkhan & Dumni,16.34
2020-02-19,9,Vatara & Kuril,30.01
2020-02-19,10,Badda & Aftabnagar,32.23
2020-02-19,11,Ramna & Motijheel,58.1
2020-02-19,12,Khilgaon & Mugda,50.1
2020-02-19,13,Dhanmondi & Azimpur,51.79
2020-02-19,14,Wari & Jatrabari,51.65
2020-02-19,15,Bashundhara R/A (NSU),62.6
2020-02-20,1,Uttara,36.1
2020-02-20,2,Mirpur,48.86
2020-02-20,3,Gulshan & Banani,36.82
2020-02-20,4,Agargaon & Kafrul,31.99
2020-02-20,5,Farmgate & Karwan Bazar,50.4
2020-02-20,6,Diabari & Ashkona,17.34
2020-02-20,7,Uttarkhan & Faidabad,15.63
2020-02-20,8,Dakshinkhan & Dumni,19.57
2020-02-20,9,Vatara & Kuril,32.96
2020-02-20,10,Badda & Aftabnagar,38.43
2020-02-20,11,Ramna & Motijheel,57.54
2020-02-20,12,Khilgaon & Mugda,43.51
2020-02-20,13,Dhanmondi & Azimpur,42.19
2020-02-20,14,Wari & Jatrabari,48.2
2020-02-20,15,Bashundhara R/A (NSU),61.08
2020-02-21,1,Uttara,42.93
2020-02-21,2,Mirpur,49.57
2020-02-21,3,Gulshan & Banani,37.6
2020-02-21,4,Agargaon & Kafrul,37.17
2020-02-21,5,Farmgate & Karwan Bazar,60.97
2020-02-21,6,Diabari & Ashkona,16.79
2020-02-21,7,Uttarkhan & Faidabad,17.87
2020-02-21,8,Dakshinkhan & Dumni,20.29
2020-02-21,9,Vatara & Kuril,35.03
2020-02-21,10,Badda & Aftabnagar,30.62
2020-02-21,11,Ramna & Motijheel,54.01
2020-02-21,12,Khilgaon & Mugda,42.29
2020-02-21,13,Dhanmondi & Azimpur,42.62
2020-02-21,14,Wari & Jatrabari,53.4
2020-02-21,15,Bashundhara R/A (NSU),58.0
2020-02-22,1,Uttara,39.35
2020-02-22,2,Mirpur,47.03
2020-02-22,3,Gulshan & Banani,45.66
2020-02-22,4,Agargaon & Kafrul,34.47
2020-02-22,5,Farmgate & Karwan Bazar,45.58
2020-02-22,6,Diabari & Ashkona,20.82
2020-02-22,7,Uttarkhan & Faidabad,15.74
2020-02-22,8,Dakshinkhan & Dumni,16.55
2020-02-22,9,Vatara & Kuril,27.42
2020-02-22,10,Badda & Aftabnagar,35.01
2020-02-22,11,Ramna & Motijheel,47.22
2020-02-22,12,Khilgaon & Mugda,33.4
2020-02-22,13,Dhanmondi & Azimpur,39.43
2020-02-22,14,Wari & Jatrabari,40.71
2020-02-22,15,Bashundhara R/A (NSU),57.47
2020-02-23,1,Uttara,34.62
2020-02-23,2,Mirpur,40.28
2020-02-23,3,Gulshan & Banani,29.44
2020-02-23,4,Agargaon & Kafrul,33.73
2020-02-23,5,Farmgate & Karwan Bazar,59.09
2020-02-23,6,Diabari & Ashkona,17.82
2020-02-23,7,Uttarkhan & Faidabad,18.27
2020-02-23,8,Dakshinkhan & Dumni,14.11
2020-02-23,9,Vatara & Kuril,30.56
2020-02-23,10,Badda & Aftabnagar,37.38
2020-02-23,11,Ramna & Motijheel,49.25
2020-02-23,12,Khilgaon & Mugda,41.96
2020-02-23,13,Dhanmondi & Azimpur,40.68
2020-02-23,14,Wari & Jatrabari,48.47
2020-02-23,15,Bashundhara R/A (NSU),65.87
2020-02-24,1,Uttara,39.24
2020-02-24,2,Mirpur,45.75
2020-02-24,3,Gulshan & Banani,54.33
2020-02-24,4,Agargaon & Kafrul,30.0
2020-02-24,5,Farmgate & Karwan Bazar,49.93
2020-02-24,6,Diabari & Ashkona,22.53
2020-02-24,7,Uttarkhan & Faidabad,14.79
2020-02-24,8,Dakshinkhan & Dumni,18.35
2020-02-24,9,Vatara & Kuril,32.09
2020-02-24,10,Badda & Aftabnagar,28.5
2020-02-24,11,Ramna & Motijheel,60.92
2020-02-24,12,Khilgaon & Mugda,43.41
2020-02-24,13,Dhanmondi & Azimpur,39.26
2020-02-24,14,Wari & Jatrabari,51.28
