date,zone_id,zone_name,symptom_score,source
2019-12-29,1,Uttara,1.2,google_trends
2019-12-29,2,Mirpur,0.06,google_trends
2019-12-29,3,Gulshan & Banani,2.23,google_trends
2019-12-29,4,Agargaon & Kafrul,0.92,google_trends
2019-12-29,5,Farmgate & Karwan Bazar,6.74,google_trends
2019-12-29,6,Diabari & Ashkona,0.0,google_trends
2019-12-29,7,Uttarkhan & Faidabad,0.24,google_trends
2019-12-29,8,Dakshinkhan & Dumni,3.94,google_trends
2019-12-29,9,Vatara & Kuril,0.0,google_trends
2019-12-29,10,Badda & Aftabnagar,3.94,google_trends
2019-12-29,11,Ramna & Motijheel,5.5,google_trends
2019-12-29,12,Khilgaon & Mugda,3.11,google_trends
2019-12-29,13,Dhanmondi & Azimpur,4.1,google_trends
2019-12-29,14,Wari & Jatrabari,4.47,google_trends
2019-12-29,15,Bashundhara R/A (NSU),5.23,google_trends
2020-01-05,1,Uttara,5.63,google_trends
2020-01-05,2,Mirpur,1.2,google_trends
2020-01-05,3,Gulshan & Banani,2.48,google_trends
2020-01-05,4,Agargaon & Kafrul,0.0,google_trends
2020-01-05,5,Farmgate & Karwan Bazar,6.08,google_trends
2020-01-05,6,Diabari & Ashkona,2.77,google_trends
2020-01-05,7,Uttarkhan & Faidabad,7.13,google_trends
2020-01-05,8,Dakshinkhan & Dumni,5.52,google_trends
2020-01-05,9,Vatara & Kuril,8.6,google_trends
2020-01-05,10,Badda & Aftabnagar,3.54,google_trends
2020-01-05,11,Ramna & Motijheel,6.44,google_trends
2020-01-05,12,Khilgaon & Mugda,1.3,google_trends
2020-01-05,13,Dhanmondi & Azimpur,1.73,google_trends
2020-01-05,14,Wari & Jatrabari,10.15,google_trends
2020-01-05,15,Bashundhara R/A (NSU),6.46,google_trends
2020-01-12,1,Uttara,0.0,google_trends
2020-01-12,2,Mirpur,5.21,google_trends
2020-01-12,3,Gulshan & Banani,0.95,google_trends
2020-01-12,4,Agargaon & Kafrul,3.33,google_trends
2020-01-12,5,Farmgate & Karwan Bazar,3.75,google_trends
2020-01-12,6,Diabari & Ashkona,1.27,google_trends
2020-01-12,7,Uttarkhan & Faidabad,5.68,google_trends
2020-01-12,8,Dakshinkhan & Dumni,5.51,google_trends
2020-01-12,9,Vatara & Kuril,4.95,google_trends
2020-01-12,10,Badda & Aftabnagar,7.71,google_trends
2020-01-12,11,Ramna & Motijheel,2.76,google_trends
2020-01-12,12,Khilgaon & Mugda,6.17,google_trends
2020-01-12,13,Dhanmondi & Azimpur,7.81,google_trends
2020-01-12,14,Wari & Jatrabari,6.79,google_trends
2020-01-12,15,Bashundhara R/A (NSU),4.41,google_trends
2020-01-19,1,Uttara,5.19,google_trends
2020-01-19,2,Mirpur,5.17,google_trends
2020-01-19,3,Gulshan & Banani,3.21,google_trends
2020-01-19,4,Agargaon & Kafrul,2.07,google_trends
2020-01-19,5,Farmgate & Karwan Bazar,5.83,google_trends
2020-01-19,6,Diabari & Ashkona,1.23,google_trends
2020-01-19,7,Uttarkhan & Faidabad,2.77,google_trends
2020-01-19,8,Dakshinkhan & Dumni,3.67,google_trends
2020-01-19,9,Vatara & Kuril,6.52,google_trends
2020-01-19,10,Badda & Aftabnagar,3.65,google_trends
2020-01-19,11,Ramna & Motijheel,10.59,google_trends
2020-01-19,12,Khilgaon & Mugda,6.14,google_trends
2020-01-19,13,Dhanmondi & Azimpur,4.23,google_trends
2020-01-19,14,Wari & Jatrabari,5.18,google_trends
2020-01-19,15,Bashundhara R/A (NSU),12.36,google_trends
2020-01-26,1,Uttara,5.63,google_trends
2020-01-26,2,Mirpur,10.0,google_trends
2020-01-26,3,Gulshan & Banani,7.06,google_trends
2020-01-26,4,Agargaon & Kafrul,0.32,google_trends
2020-01-26,5,Farmgate & Karwan Bazar,11.3,google_trends
2020-01-26,6,Diabari & Ashkona,2.38,google_trends
2020-01-26,7,Uttarkhan & Faidabad,1.62,google_trends
2020-01-26,8,Dakshinkhan & Dumni,6.53,google_trends
2020-01-26,9,Vatara & Kuril,4.44,google_trends
2020-01-26,10,Badda & Aftabnagar,5.79,google_trends
2020-01-26,11,Ramna & Motijheel,9.12,google_trends
2020-01-26,12,Khilgaon & Mugda,4.64,google_trends
2020-01-26,13,Dhanmondi & Azimpur,0.05,google_trends
2020-01-26,14,Wari & Jatrabari,5.26,google_trends
2020-01-26,15,Bashundhara R/A (NSU),5.06,google_trends
2020-02-02,1,Uttara,6.81,google_trends
2020-02-02,2,Mirpur,3.55,google_trends
2020-02-02,3,Gulshan & Banani,3.95,google_trends
2020-02-02,4,Agargaon & Kafrul,3.23,google_trends
2020-02-02,5,Farmgate & Karwan Bazar,2.75,google_trends
2020-02-02,6,Diabari & Ashkona,4.83,google_trends
2020-02-02,7,Uttarkhan & Faidabad,0.0,google_trends
2020-02-02,8,Dakshinkhan & Dumni,1.57,google_trends
2020-02-02,9,Vatara & Kuril,9.17,google_trends
2020-02-02,10,Badda & Aftabnagar,6.11,google_trends
2020-02-02,11,Ramna & Motijheel,7.91,google_trends
2020-02-02,12,Khilgaon & Mugda,6.84,google_trends
2020-02-02,13,Dhanmondi & Azimpur,1.38,google_trends
2020-02-02,14,Wari & Jatrabari,9.42,google_trends
2020-02-02,15,Bashundhara R/A (NSU),8.55,google_trends
2020-02-09,1,Uttara,0.0,google_trends
2020-02-09,2,Mirpur,6.99,google_trends
2020-02-09,3,Gulshan & Banani,4.43,google_trends
2020-02-09,4,Agargaon & Kafrul,4.14,google_trends
2020-02-09,5,Farmgate & Karwan Bazar,4.91,google_trends
2020-02-09,6,Diabari & Ashkona,4.8,google_trends
2020-02-09,7,Uttarkhan & Faidabad,2.69,google_trends
2020-02-09,8,Dakshinkhan & Dumni,4.6,google_trends
2020-02-09,9,Vatara & Kuril,0.0,google_trends
2020-02-09,10,Badda & Aftabnagar,5.37,google_trends
2020-02-09,11,Ramna & Motijheel,4.13,google_trends
2020-02-09,12,Khilgaon & Mugda,3.59,google_trends
2020-02-09,13,Dhanmondi & Azimpur,3.51,google_trends
2020-02-09,14,Wari & Jatrabari,4.04,google_trends
2020-02-09,15,Bashundhara R/A (NSU),7.5,google_trends
2020-02-16,1,Uttara,3.28,google_trends
2020-02-16,2,Mirpur,5.25,google_trends
2020-02-16,3,Gulshan & Banani,7.43,google_trends
2020-02-16,4,Agargaon & Kafrul,2.66,google_trends
2020-02-16,5,Farmgate & Karwan Bazar,13.71,google_trends
2020-02-16,6,Diabari & Ashkona,2.73,google_trends
2020-02-16,7,Uttarkhan & Faidabad,6.15,google_trends
2020-02-16,8,Dakshinkhan & Dumni,5.77,google_trends
2020-02-16,9,Vatara & Kuril,8.87,google_trends
2020-02-16,10,Badda & Aftabnagar,4.41,google_trends
2020-02-16,11,Ramna & Motijheel,8.74,google_trends
2020-02-16,12,Khilgaon & Mugda,10.31,google_trends
2020-02-16,13,Dhanmondi & Azimpur,8.59,google_trends
2020-02-16,14,Wari & Jatrabari,8.95,google_trends
2020-02-16,15,Bashundhara R/A (NSU),11.24,google_trends
2020-02-23,1,Uttara,2.81,google_trends
2020-02-23,2,Mirpur,6.35,google_trends
2020-02-23,3,Gulshan & Banani,3.17,google_trends
2020-02-23,4,Agargaon & Kafrul,0.0,google_trends
2020-02-23,5,Farmgate & Karwan Bazar,7.09,google_trends
2020-02-23,6,Diabari & Ashkona,2.72,google_trends
2020-02-23,7,Uttarkhan & Faidabad,0.0,google_trends
2020-02-23,8,Dakshinkhan & Dumni,2.47,google_trends
2020-02-23,9,Vatara & Kuril,4.51,google_trends
2020-02-23,10,Badda & Aftabnagar,4.83,google_trends
2020-02-23,11,Ramna & Motijheel,6.08,google_trends
2020-02-23,12,Khilgaon & Mugda,5.52,google_trends
2020-02-23,13,Dhanmondi & Azimpur,4.69,google_trends
2020-02-23,14,Wari & Jatrabari,6.06,google_trends
2020-02-23,15,Bashundhara R/A (NSU),7.8,google_trends
2020-03-01,1,Uttara,5.93,google_trends
2020-03-01,2,Mirpur,8.78,google_trends
2020-03-01,3,Gulshan & Banani,3.09,google_trends
2020-03-01,4,Agargaon & Kafrul,1.61,google_trends
2020-03-01,5,Farmgate & Karwan Bazar,6.48,google_trends
2020-03-01,6,Diabari & Ashkona,4.28,google_trends
2020-03-01,7,Uttarkhan & Faidabad,0.39,google_trends
2020-03-01,8,Dakshinkhan & Dumni,5.36,google_trends
2020-03-01,9,Vatara & Kuril,4.41,google_trends
2020-03-01,10,Badda & Aftabnagar,4.39,google_trends
2020-03-01,11,Ramna & Motijheel,6.45,google_trends
2020-03-01,12,Khilgaon & Mugda,4.84,google_trends
2020-03-01,13,Dhanmondi & Azimpur,13.69,google_trends
2020-03-01,14,Wari & Jatrabari,4.23,google_trends
2020-03-01,15,Bashundhara R/A (NSU),8.8,google_trends
2020-03-08,1,Uttara,5.29,google_trends
2020-03-08,2,Mirpur,5.5,google_trends
2020-03-08,3,Gulshan & Banani,4.0,google_trends
2020-03-08,4,Agargaon & Kafrul,4.39,google_trends
2020-03-08,5,Farmgate & Karwan Bazar,8.52,google_trends
2020-03-08,6,Diabari & Ashkona,0.0,google_trends
2020-03-08,7,Uttarkhan & Faidabad,1.67,google_trends
2020-03-08,8,Dakshinkhan & Dumni,2.14,google_trends
2020-03-08,9,Vatara & Kuril,7.14,google_trends
2020-03-08,10,Badda & Aftabnagar,0.72,google_trends
2020-03-08,11,Ramna & Motijheel,10.09,google_trends
2020-03-08,12,Khilgaon & Mugda,9.01,google_trends
2020-03-08,13,Dhanmondi & Azimpur,9.2,google_trends
2020-03-08,14,Wari & Jatrabari,7.9,google_trends
2020-03-08,15,Bashundhara R/A (NSU),15.44,google_trends
2020-03-15,1,Uttara,10.65,google_trends
2020-03-15,2,Mirpur,15.23,google_trends
2020-03-15,3,Gulshan & Banani,10.47,google_trends
2020-03-15,4,Agargaon & Kafrul,9.16,google_trends
2020-03-15,5,Farmgate & Karwan Bazar,9.74,google_trends
2020-03-15,6,Diabari & Ashkona,3.39,google_trends
2020-03-15,7,Uttarkhan & Faidabad,6.22,google_trends
2020-03-15,8,Dakshinkhan & Dumni,3.71,google_trends
2020-03-15,9,Vatara & Kuril,9.42,google_trends
2020-03-15,10,Badda & Aftabnagar,5.72,google_trends
2020-03-15,11,Ramna & Motijheel,15.73,google_trends
2020-03-15,12,Khilgaon & Mugda,12.4,google_trends
2020-03-15,13,Dhanmondi & Azimpur,10.72,google_trends
2020-03-15,14,Wari & Jatrabari,13.82,google_trends
2020-03-15,15,Bashundhara R/A (NSU),17.69,google_trends
2020-03-22,1,Uttara,11.25,google_trends
2020-03-22,2,Mirpur,11.54,google_trends
2020-03-22,3,Gulshan & Banani,10.43,google_trends
2020-03-22,4,Agargaon & Kafrul,7.26,google_trends
2020-03-22,5,Farmgate & Karwan Bazar,14.91,google_trends
2020-03-22,6,Diabari & Ashkona,10.53,google_trends
2020-03-22,7,Uttarkhan & Faidabad,10.04,google_trends
2020-03-22,8,Dakshinkhan & Dumni,5.56,google_trends
2020-03-22,9,Vatara & Kuril,13.8,google_trends
2020-03-22,10,Badda & Aftabnagar,10.98,google_trends
2020-03-22,11,Ramna & Motijheel,21.1,google_trends
2020-03-22,12,Khilgaon & Mugda,11.97,google_trends
2020-03-22,13,Dhanmondi & Azimpur,10.55,google_trends
2020-03-22,14,Wari & Jatrabari,15.78,google_trends
2020-03-22,15,Bashundhara R/A (NSU),21.86,google_trends
2020-03-29,1,Uttara,15.86,google_trends
2020-03-29,2,Mirpur,12.8,google_trends
2020-03-29,3,Gulshan & Banani,10.63,google_trends
2020-03-29,4,Agargaon & Kafrul,5.95,google_trends
2020-03-29,5,Farmgate & Karwan Bazar,18.14,google_trends
2020-03-29,6,Diabari & Ashkona,8.77,google_trends
2020-03-29,7,Uttarkhan & Faidabad,4.95,google_trends
2020-03-29,8,Dakshinkhan & Dumni,3.95,google_trends
2020-03-29,9,Vatara & Kuril,11.73,google_trends
2020-03-29,10,Badda & Aftabnagar,6.99,google_trends
2020-03-29,11,Ramna & Motijheel,14.3,google_trends
2020-03-29,12,Khilgaon & Mugda,17.45,google_trends
2020-03-29,13,Dhanmondi & Azimpur,12.94,google_trends
2020-03-29,14,Wari & Jatrabari,13.62,google_trends
2020-03-29,15,Bashundhara R/A (NSU),20.14,google_trends
2020-04-05,1,Uttara,6.53,google_trends
2020-04-05,2,Mirpur,8.77,google_trends
2020-04-05,3,Gulshan & Banani,8.36,google_trends
2020-04-05,4,Agargaon & Kafrul,8.65,google_trends
2020-04-05,5,Farmgate & Karwan Bazar,14.58,google_trends
2020-04-05,6,Diabari & Ashkona,3.59,google_trends
2020-04-05,7,Uttarkhan & Faidabad,6.36,google_trends
2020-04-05,8,Dakshinkhan & Dumni,0.09,google_trends
